2017	7457290	566				0	0	135					1	135	84					1	84		Yes			4
2019	7406842	566				0	0	141					1	141	168					1	168					4
2019	7404863	566				0	0	139					1	139	183					1	183					4
2019	7523231	567				0	0	141					1	141	158					1	158					1
2017	7457168	568				0	0	135					1	135	81					1	81		Yes			4
2017	7493223	568				0	0	136					1	136	173					1	173					4
2019	7558867	568				0	0	141					1	141	172					1	172		Yes			4
2019	7524849	568				0	0	141					1	141	141					1	141					4
2017	7491072	569				0	0	136					1	136	185					1	185		Yes			2
2019	7524841	569				0	0	142					1	142	184					1	184					2
2017	7456148	570				0	0	136					1	136	160					1	160		Yes			4
2018	7497162	570				0	0	135					1	135	186					1	186		Yes			4
2019	7525203	570				0	0	141					1	141	155					1	155					4
2019	7561046	570				0	0	138					1	138	198					1	198		Yes			4
2018	7527732	572				0	0	139					1	139	164					1	164					3
2019	7559161	572				0	0	141					1	141	164					1	164		Yes			3
2019	7404842	572				0	0	139					1	139						0	No Values					3
2019	7494784	573				0	0	138					1	138	170					1	170		Yes			1
2018	7528704	574				0	0	139					1	139	166					1	166					2
2019	7047875	574				0	0	139					1	139						0	No Values					2
2018	7490578	575				0	0	139					1	139	176					1	176		Yes			1
2017	7488202	576				0	0	136					1	136	170					1	170		Yes			6
2017	7457310	576				0	0	135					1	135	82					1	82		Yes			6
2017	7457347	576				0	0	135					1	135	173					1	173					6
2018	7524693	576				0	0	135					1	135	187					1	187					6
2019	7559082	576				0	0	138					1	138	184					1	184		Yes			6
2019	7488117	576				0	0	141					1	141	190					1	190		Yes			6
2017	7457706	577				0	0	135					1	135	160					1	160		Yes			4
2017	7404773	577				0	0	136					1	136	149					1	149		Yes			4
2017	7404811	577				0	0	142					1	142	180					1	180		Yes			4
2018	7404751	577				0	0	136					1	136	153					1	153					4
2017	7457376	578				0	0	135					1	135	92					1	92					3
2018	7522868	578				0	0	141					1	141						0	No Values					3
2018	7493235	578				0	0	135					1	135	182					1	182					3
2017	7457152	579				0	0	135					1	135	98					1	98		Yes			3
2017	7488099	579				0	0	135					1	135	94					1	94		Yes			3
2019	7404907	579				0	0	141					1	141	146					1	146		Yes			3
2017	7404716	580				0	0	135					1	135	87					1	87		Yes			5
2017	7457157	580				0	0	142					1	142						0	No Values					5
2017	7080682	580				0	0	135					1	135	156					1	156		Yes			5
2018	7457489	580				0	0	135					1	135	184					1	184					5
2019	7455844	580				0	0	139					1	139	157					1	157		Yes			5
2017	7532393	581				0	0	135					1	135	166					1	166		Yes			2
2018	7524867	581				0	0	135					1	135	189					1	189		Yes			2
2017	7404769	582				0	0	139					1	139						0	No Values					1
2018	7524036	584				0	0	141					1	141	184					1	184		Yes			2
2019	4208682	584				0	0	139					1	139	168					1	168		Yes			2
2017	7492189	585				0	0	135					1	135	150					1	150		Yes			1
2017	7081950	586				0	0	135					1	135	97					1	97		Yes			2
2018	7457208	586				0	0	135					1	135	182					1	182					2
2019	7523895	588				0	0	139					1	139	161					1	161		Yes			1
2019	7493281	589				0	0	142					1	142	196					1	196					1
2019	7559029	590				0	0	141					1	141	172					1	172					1
2018	7493272	591				0	0	141					1	141	180					1	180		Yes			1
2017	7404775	592				0	0	135					1	135	86					1	86		Yes			1
2017	7404809	595				0	0	135					1	135	93					1	93		Yes			1
2017	7404909	596				0	0	135					1	135	92					1	92		Yes			2
2019	7561208	596				0	0	138					1	138	188					1	188		Yes			2
2018	7454376	598				0	0	139					1	139	188					1	188					2
2018	7524866	598				0	0	139					1	139	166					1	166					2
2018	7454314	600				0	0	139					1	139	152					1	152					2
2019	7559020	600				0	0	141					1	141						0	No Values					2
2018	7493212	601				0	0	141					1	141	161					1	161		Yes			1
2017	7420279	602				0	0	135					1	135	94					1	94		Yes			2
2018	7493128	602				0	0	138					1	138	186					1	186					2
2018	7482289	603				0	0	138					1	138						0	No Values					1
2018	7524692	604				0	0	138					1	138	175					1	175					1
2018	7265328	605				0	0	135					1	135	174					1	174					1
2019	7526032	606				0	0	141					1	141	176					1	176		Yes			1
2019	7461516	610				0	0	141					1	141	180					1	180		Yes			1
2019	7511272	611				0	0	138					1	138	173					1	173		Yes			1
2019	7482472	615				0	0	138					1	138	190					1	190		Yes			1
2018	7404788	625				0	0	135					1	135	100					1	100		Yes			1
2019	7559034	632				0	0	141					1	141	169					1	169					2
2019	7493330	632				0	0	142					1	142						0	No Values					2
